model,count_mean,count_std,rate_mean,rate_std,vbp_mean,vbp_std,vbp_e2e_mean,vbp_e2e_std,avg_speedup_mean,avg_speedup_std,avg_speedup_e2e_mean,avg_speedup_e2e_std,avg_speedup_all_mean,avg_speedup_all_std,avg_speedup_all_e2e_mean,avg_speedup_all_e2e_std
eval-qwen3-1.7b-nt-gen-inv-sft-v2.2-latest-nt,3.33,1.25,0.17,0.06,509.11,29.65,509.18,29.62,52.67,13.85,49.83,12.79,9.0,2.01,8.57,1.89
eval-gpt-5.2,2.67,0.47,0.13,0.02,524.29,13.16,526.77,12.72,36.22,3.91,14.66,1.35,5.78,1.27,2.84,0.44
eval-qwen3-8b-gen-inv-sft-v1-latest-nt,2.67,0.47,0.13,0.02,527.24,10.99,527.38,10.95,32.84,12.25,30.57,11.14,5.01,1.16,4.73,1.02
eval-qwen3-0.6b-gen-inv-sft-v1-latest-nt,2.67,0.47,0.13,0.02,523.39,13.92,523.45,13.91,44.18,3.43,42.04,3.31,6.72,0.96,6.44,0.95
eval-qwen3-8b-nt-gen-inv-sft-v2.2-latest-nt,2.33,1.25,0.12,0.06,538.81,29.01,538.9,28.97,33.41,15.91,31.01,14.14,5.29,2.82,4.97,2.62
eval-gpt-oss-20b,2.33,0.47,0.12,0.02,550.5,13.31,551.77,12.85,25.45,15.31,13.95,9.78,3.91,1.76,2.44,0.93
eval-qwen3-4b-nt-gen-inv-sft-v2.2-latest-nt,2.33,0.47,0.12,0.02,545.44,9.28,545.53,9.27,32.34,20.14,29.84,18.34,4.72,2.29,4.42,2.08
eval-gpt-oss-120b,2.0,0.82,0.1,0.04,558.72,29.63,559.04,29.57,9.51,9.6,8.67,8.57,2.21,1.48,2.09,1.33
eval-qwen3-8b-gen-inv-sft-v0-latest-nt,2.0,1.41,0.1,0.07,542.21,40.87,542.34,40.77,40.25,28.47,34.2,24.19,6.94,4.2,6.03,3.56
eval-qwen3-0.6b-gen-inv-sft-v0-latest-nt,1.67,1.25,0.08,0.06,553.59,33.88,553.7,33.79,36.61,36.93,32.54,32.1,4.95,3.55,4.53,3.09
eval-Qwen3-0.6B-t,1.67,0.47,0.08,0.02,560.75,11.43,562.91,10.7,10.08,2.98,6.55,1.58,1.71,0.25,1.44,0.13
eval-Qwen3-14B-nt,1.67,0.47,0.08,0.02,564.48,4.26,564.6,4.22,64.84,18.99,54.84,16.44,5.87,0.27,5.1,0.2
eval-qwen3-0.6b-nt-gen-inv-sft-v2.2-latest-nt,1.67,0.47,0.08,0.02,566.8,2.93,566.83,2.92,47.31,34.56,44.72,32.52,4.15,1.91,3.97,1.79
eval-qwen3-0.6b-nt-gen-inv-sft-v2.3-latest-nt,1.33,0.47,0.07,0.02,566.44,5.5,566.47,5.48,74.31,25.34,70.17,23.66,5.3,0.41,5.06,0.37
eval-qwen3-8b-nt-gen-inv-sft-v2.3-latest-nt,1.33,0.47,0.07,0.02,575.81,7.68,575.87,7.67,6.32,3.85,6.24,3.79,1.35,0.22,1.34,0.21
eval-Qwen3-8B-nt,1.0,1.41,0.05,0.07,571.61,40.16,571.72,39.99,12.11,17.13,10.82,15.3,2.77,2.5,2.57,2.22
eval-Qwen3-0.6B-nt,1.0,0.82,0.05,0.04,577.8,16.28,577.82,16.26,8.22,6.32,8.13,6.25,1.52,0.37,1.51,0.36
eval-Qwen3-4B-Instruct-2507-nt,0.67,0.47,0.03,0.02,593.11,4.88,593.14,4.86,1.02,0.72,1.02,0.72,1.02,0.01,1.02,0.01
